OTU,Sample,Common,Gender,Abundance,Phylum,Class,Order,Family,Genus,Species
ASV80,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clinostomus,
ASV81,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,
ASV9,S11,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV2,S12,SR,F,11048,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV5,S12,SR,F,8904,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV6,S12,SR,F,8093,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV8,S12,SR,F,6620,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Campostoma,anomalum
ASV1,S12,SR,F,163,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,platyrhynchus
ASV69,S12,SR,F,50,Arthropoda,Insecta,,,insect,
ASV10,S12,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV11,S12,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV12,S12,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV13,S12,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
ASV14,S12,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Nocomis,raneyi
ASV15,S12,SR,F,0,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chrosomus,oreas
